-25.169140,2.360662,2.137098,0.019479,1.108043,0.292031,0.019479,2.496445,2.351457,0.559323,2.326141,2.293593,1.800107,1.815231,1.805368,2.579953,2.740393,2.018458,2.679541,2.900547,2.445005,1.833857,1.507504,1.017490,1.473354,2.666010,1.932440,0.466588,0.180828,2.373162,2.810985,2.759760,1.596421
-24.617547,2.230469,2.137098,0.020465,1.148153,0.320634,0.019150,2.530637,2.469814,0.702339,2.349813,2.326141,1.797806,1.749148,1.806354,2.569103,2.743681,2.017813,2.618008,2.922776,2.425997,1.835790,1.476576,0.985274,1.632826,2.829670,1.933084,0.620261,0.132181,2.421165,2.813562,2.764593,1.586434
-20.731649,2.388279,2.218304,0.020794,1.454240,0.327210,0.019150,2.584884,2.495459,0.616200,2.398471,2.592775,1.917479,1.845149,1.811286,2.606912,2.781489,2.075803,2.605765,2.960470,2.535211,2.073226,1.685339,1.119295,1.775867,2.905379,1.917942,0.722709,0.341266,2.567428,2.923421,2.878962,1.586112
-9.133012,2.260058,2.198907,0.024739,1.757696,0.345950,0.020465,2.607241,2.601652,0.751326,2.482636,2.719680,1.939835,1.834300,1.818847,2.634200,2.804175,2.185339,2.595134,2.956281,2.568716,2.141203,1.798741,1.290686,2.169553,2.882828,1.892169,1.046163,0.765235,2.639915,3.010727,2.959181,1.172774
2.860044,2.103234,2.353758,0.725681,2.071344,0.385731,0.023095,2.755845,2.759462,1.146509,2.554637,2.872888,2.337977,1.910903,2.373813,2.792010,2.965272,2.010082,2.649580,2.652157,2.201770,1.718844,1.498161,1.660532,1.740429,2.362530,1.708857,1.209179,1.095777,2.271680,2.810018,2.820972,0.010402
3.692741,2.131180,2.336991,0.635269,2.054576,0.390005,0.022766,2.779188,2.800887,1.118564,2.583240,2.895573,2.411622,1.878355,2.376772,2.813709,3.003739,1.708213,2.613497,2.413433,1.643135,0.976253,1.145390,1.880893,1.031343,1.251060,1.284565,0.520067,1.008470,1.500738,2.070004,2.290365,0.008469
5.863312,2.135454,2.304771,0.800970,2.026960,0.360087,0.023753,2.811079,2.857107,1.144537,2.578309,2.917929,2.487897,1.878355,2.417540,2.826531,3.027739,1.692749,2.711436,2.393780,1.647968,0.885080,1.102542,2.020713,0.963367,1.003315,1.346099,0.767168,1.098032,1.403766,1.978187,2.215945,0.008469
7.607596,1.840217,2.360005,1.102454,2.190030,0.327867,0.024739,2.869929,2.915957,1.544981,2.674968,2.992889,2.720667,2.003617,2.594419,2.864011,3.129000,1.745262,2.815495,2.374773,1.826447,1.045519,1.178251,2.063239,0.893135,0.932117,1.446292,0.900222,1.273612,1.512336,2.096744,2.275546,0.008469
8.894089,1.728106,2.355073,1.182346,2.209099,0.300579,0.026383,2.925491,2.919902,1.684380,2.643405,3.032999,2.796942,2.058522,2.637159,2.881436,3.245056,1.754604,2.777480,2.346422,1.842556,1.035209,1.147001,2.154089,0.970132,0.924062,1.459179,0.972709,1.290042,1.517491,2.156345,2.272646,0.008469
10.379707,1.655119,2.442526,1.501912,2.273867,0.425184,0.027369,2.960998,2.921875,1.788929,2.694365,3.045821,2.901491,2.232113,2.693707,2.926477,3.309167,1.841267,2.866075,2.301319,1.950481,1.046807,1.189849,2.170520,1.111563,0.992684,1.474643,1.018457,1.309050,1.566782,2.244296,2.275224,0.008469
12.611774,1.682407,2.513870,1.786628,2.338963,0.452143,0.028027,3.000122,2.924834,1.804381,2.745325,3.088233,3.004725,2.401430,2.770969,2.990916,3.365715,1.832246,2.952738,2.286177,2.013947,1.092555,1.208534,2.188883,1.357697,1.066459,1.558728,1.143135,1.393457,1.637981,2.294554,2.317749,0.008791
13.699206,1.655119,2.567788,1.879670,2.430362,0.506062,0.028684,3.031355,2.912669,1.863560,2.786092,3.114534,3.068835,2.480006,2.842641,3.019848,3.405168,1.960468,3.075805,2.271358,2.085790,1.148612,1.276833,2.277479,1.570970,1.057117,1.596099,1.311305,1.570004,1.681473,2.428897,2.363497,0.008469
16.072120,1.599557,2.604939,2.022028,2.449759,0.692475,0.029013,3.048780,2.904778,1.940164,2.812065,3.104342,3.152343,2.656885,2.868614,3.045492,3.440675,2.042298,3.135405,2.304218,2.253316,1.273612,1.440171,2.535211,1.808084,1.239784,1.653767,1.641847,1.798097,1.753960,2.549064,2.556152,0.009114
17.296162,1.569638,2.673652,2.066741,2.470472,0.846669,0.029342,3.098425,2.909710,1.998028,2.898861,3.110918,3.249002,2.692721,2.911354,3.082972,3.455799,2.034566,3.166978,2.316139,2.386371,1.344488,1.611241,2.690817,1.895068,1.368973,1.697259,1.598676,1.952736,1.935017,2.626062,2.692750,0.009436
18.724476,1.474295,2.723297,2.058193,2.490856,0.972589,0.133891,3.128014,2.927135,2.120331,2.906422,3.102370,3.343359,2.762092,2.928121,3.103685,3.477826,2.073226,3.235599,2.317427,2.503317,1.428251,1.703380,2.778446,1.968200,1.442104,1.783599,1.684372,2.011048,1.953380,2.677286,2.736242,0.010402
20.003279,1.280319,2.753873,2.084494,2.585542,1.044919,0.204906,3.113877,2.945875,2.339621,2.948834,3.093164,3.402538,2.825216,2.937327,3.117822,3.501826,2.137659,3.235921,2.344811,2.528446,1.530700,1.776834,2.825482,2.183084,1.412143,1.944038,1.796808,2.083213,2.002027,2.716268,2.782956,0.011369
21.769562,1.162290,2.815682,2.124276,2.597378,1.086673,0.326223,3.132946,2.960341,2.473431,2.944560,3.100397,3.421935,2.877819,2.932724,3.122425,3.518923,2.141525,3.234955,2.345134,2.538755,1.519102,1.825803,2.834503,2.291010,1.460790,1.988174,1.837723,2.089334,2.037788,2.735598,2.799387,0.011691
22.916965,1.145194,2.840339,2.109810,2.593761,1.119550,0.328196,3.139850,2.953437,2.504335,3.026424,3.100068,3.452511,2.928121,2.937984,3.117165,3.519909,2.136048,3.237532,2.317749,2.533278,1.547130,1.870262,2.863820,2.355443,1.450480,2.006216,1.886692,2.109953,2.077414,2.754606,2.809696,0.011047
24.795234,1.209962,2.837052,2.121974,2.587514,1.071221,0.216085,3.164836,2.966259,2.442526,3.047794,3.116507,3.473552,2.946204,2.947519,3.111575,3.534046,2.159244,3.236243,2.328703,2.541010,1.588689,1.892491,2.875418,2.381860,1.485274,2.036499,1.861885,2.149257,2.095777,2.783279,2.811629,0.010724
26.403237,1.046563,2.836723,2.141372,2.544445,1.069248,0.172029,3.154973,2.937327,2.605926,3.010972,3.112890,3.476511,2.944560,2.956067,3.121767,3.532731,2.120906,3.269104,2.255894,2.501384,1.510725,1.874128,2.887660,2.372518,1.433083,2.049386,1.953058,2.128961,2.080958,2.804864,2.792943,0.010724
27.681090,1.034398,2.842641,2.088769,2.536226,1.085687,0.170385,3.158590,2.988615,2.628940,2.952450,3.104342,3.489662,2.973820,2.975464,3.116507,3.548183,2.156989,3.291011,2.208213,2.565495,1.522968,1.891847,2.932119,2.441783,1.387980,2.078381,1.991396,2.192105,2.098033,2.833859,2.801320,0.011369
28.244638,1.024206,2.859408,2.075618,2.530966,1.140592,0.246660,3.177001,2.984012,2.641104,2.947519,3.148069,3.497881,3.008670,2.981711,3.114534,3.559361,2.165365,3.388628,2.172775,2.675031,1.529411,1.938561,2.984954,2.470778,1.442104,2.119940,2.021679,2.297775,2.123806,2.887016,2.797132,0.010080
29.305060,1.022891,2.859737,2.067727,2.530966,1.206346,0.517897,3.174042,2.972177,2.645049,2.984012,3.155631,3.502484,3.036944,2.986971,3.109274,3.569224,2.176319,3.484633,2.113497,2.704992,1.455957,1.958535,3.084503,2.477866,1.356086,2.152801,2.048097,2.334824,2.142814,2.896681,2.829993,0.010724
30.942340,1.016316,2.854148,2.024329,2.521431,1.172811,0.488966,3.194426,2.967245,2.646364,3.026095,3.163192,3.503470,3.046150,2.985327,3.113219,3.569882,2.186628,3.519427,2.044231,2.703059,1.410532,1.947904,3.083859,2.550031,1.220132,2.231087,2.072904,2.356731,2.169231,2.900225,2.803575,0.011691
32.968207,1.028480,2.849216,1.943780,2.510582,1.191551,0.516582,3.216782,2.979738,2.631241,3.051739,3.151685,3.501498,3.043520,2.995190,3.110260,3.570868,2.175675,3.546489,1.989141,2.699193,1.422774,1.933406,3.124130,2.615430,1.187271,2.244296,2.204669,2.364786,2.187595,2.919877,2.739786,0.010724
33.529578,1.032426,2.850860,1.990795,2.536226,1.201743,0.512966,3.220727,2.958039,2.626967,3.057657,3.136891,3.502813,3.046479,2.999793,3.107959,3.569882,2.178896,3.553899,1.970455,2.675675,1.415042,1.927929,3.156346,2.630572,1.144746,2.261370,2.247195,2.396358,2.206602,2.935985,2.730766,0.010724
33.480083,1.048207,2.853819,2.008877,2.535897,1.198127,0.423540,3.223029,2.999136,2.611515,3.072780,3.116507,3.502155,3.054369,2.997821,3.106973,3.569224,2.171164,3.536824,1.932762,2.698227,1.377349,1.924708,3.152802,2.618974,1.116395,2.269747,2.251061,2.404412,2.208535,2.949194,2.743652,0.009758
32.921558,1.091276,2.846586,1.982247,2.525705,1.193195,0.425512,3.210207,3.005054,2.565487,3.052397,3.090863,3.496566,3.055356,2.994533,3.100068,3.564622,2.170520,3.517172,1.975288,2.672454,1.361563,1.932118,3.121874,2.652157,1.164398,2.269747,2.239785,2.378639,2.184373,2.946939,2.789722,0.011691
