30.085418,0.160193,3.671472,3.696788,3.87005,4.144573,2.602967,3.892735,3.360126,3.402538,3.528786,3.597499,3.555087,3.921667,3.915091,4.017997,3.715528,2.732699,3.058086,3.393782,3.387661,3.184052,3.116398,3.004928,2.8519,4.140885,2.652801,2.071293,2.949516,2.647969,3.428898,3.14507,3.434697,,,30.085418,146.8168398,,,18.04032544,1,71.901676,-136.8560474,141.3270985,-136.0366222,108.4898371,,1,-191.5910643
30.33338,0.054,3.652404,3.65076,3.85131,4.118272,2.591788,3.876296,3.396291,3.465004,3.525498,3.573827,3.519909,3.885173,3.891091,4.00649,3.688897,2.726255,3.03199,3.351256,3.370909,3.132828,3.075483,2.98141,2.773291,4.125421,2.622196,2.083213,2.987531,2.704992,3.444684,3.141849,3.459826,,,30.33338,148.0268944,,,17.8157088,2,97.80397912,-136.7678218,144.1087424,-143.0029002,110.0959134,,2,-191.4833432
30.76763,0.063205,3.655362,3.655362,3.85657,4.127149,2.579624,3.877283,3.391359,3.452511,3.526813,3.577444,3.522868,3.889118,3.895036,4.01438,3.687911,2.745907,3.034568,3.376063,3.408602,3.206282,3.126707,2.987531,2.796487,4.124132,2.641848,2.070649,3.010727,2.683729,3.494298,3.201449,3.486244,,,30.76763,150.1460344,,,17.83816656,3,136.8536903,-130.4663071,141.6171462,-133.6021317,113.6650088,,3,-188.8270421
30.36983,0.106603,3.662924,3.67476,3.869392,4.146875,2.617104,3.889447,3.40714,3.448237,3.526484,3.58928,3.532073,3.902598,3.906872,4.01701,3.69613,2.758472,3.03489,3.416012,3.426965,3.234955,3.153447,3.021681,2.883794,4.137341,2.773291,2.074837,3.056153,2.692106,3.51846,3.254285,3.491076,,,30.36983,148.2047704,,,17.9328288,4,145.7360467,-135.5779949,144.8977262,-133.9499488,114.9437152,,4,-188.7191404
30.556497,0.109234,3.667198,3.674431,3.884516,4.157395,2.589816,3.89668,3.435744,3.438702,3.521553,3.594211,3.533717,3.911475,3.916078,4.026216,3.701719,2.755572,3.042622,3.424388,3.43663,3.228833,3.162145,3.025225,2.922132,4.142818,2.776835,2.030056,3.091269,2.694683,3.509118,3.271037,3.514272,,,30.556497,149.1157054,,,17.93122328,5,146.8168398,-4.44198584,26.59010984,-9.79131496,34.26141616,,5,-187.1355902
31.026641,0.024739,3.660294,3.637938,3.852625,4.112683,2.581925,3.835529,3.39399,3.484073,3.532073,3.564622,3.491963,3.884844,3.887146,4.012408,3.702048,2.732376,3.003962,3.31453,3.406025,3.126385,3.104478,2.9769,2.755572,4.104158,2.715624,2.066138,3.093202,2.679863,3.511051,3.285857,3.536179,,,31.026641,151.4100081,,,17.75313744,6,148.0268944,-3.00003856,64.25593112,-55.25721112,71.63368104,,6,-186.011653
31.291553,-0.00222,3.652732,3.631362,3.848351,4.094929,2.585871,3.813501,3.358811,3.504457,3.531087,3.558704,3.478484,3.878269,3.88616,4.012079,3.697116,2.7269,2.99623,3.375419,3.400226,3.121552,3.083859,2.968202,2.711758,4.105446,2.744619,2.06195,3.118975,2.689528,3.508473,3.286501,3.545844,,,31.291553,152.7027786,,,17.72104656,7,148.2047704,-106.1977304,97.948554,-103.479263,104.7664996,,7,-184.7515198
31.16013,0.01652,3.651417,3.63202,3.846707,4.113998,2.594747,3.8112,3.374592,3.490648,3.531087,3.562649,3.482758,3.877283,3.900954,4.019312,3.707637,2.734954,3.018459,3.433731,3.414401,3.188241,3.14056,2.988498,2.859632,4.115434,2.819683,2.001705,3.211114,2.718201,3.513306,3.287468,3.551643,,,31.16013,152.0614344,,,17.7242576,8,149.1157054,-133.216436,107.6275362,-107.1250085,102.9725628,,8,-184.2822151
30.842679,0.022109,3.649445,3.635965,3.845392,4.1643,2.585213,3.800022,3.365387,3.477169,3.523197,3.561334,3.478813,3.897009,3.917064,4.025887,3.707308,2.7269,3.011694,3.450483,3.413757,3.223679,3.165367,2.997519,2.916333,4.12381,2.836114,1.94887,3.232055,2.769425,3.509118,3.284246,3.547133,,,30.842679,150.5122735,,,17.7435092,9,150.1460344,-47.0823132,83.79734944,-82.83323712,90.50418232,,9,-182.8916689
31.037591,0.034931,3.652404,3.638595,3.8352,4.199149,2.562857,3.796405,3.360784,3.46599,3.510703,3.554759,3.477169,3.899639,3.921009,4.03312,3.699747,2.735598,3.01105,3.473035,3.440818,3.266205,3.185341,3.00364,2.969812,4.137341,2.830315,1.741396,3.238821,2.784567,3.506218,3.283279,3.564208,,,31.037591,151.4634441,,,17.7563436,10,150.5122735,-145.1577033,123.6701458,-115.9157087,108.0774674,,10,-181.6831613
32.577754,0.103973,3.66391,3.661938,3.881228,4.199478,2.528007,3.794433,3.317386,3.45284,3.502813,3.56495,3.492621,3.912132,3.933503,4.032463,3.675746,2.735276,3.015238,3.46337,3.453705,3.266527,3.18373,3.07355,2.959825,4.125421,2.861565,1.848032,3.254607,2.793588,3.512339,3.301643,3.566141,,,32.577754,158.9794395,,,17.87025744,11,151.0133666,-138.8154162,146.071576,-126.4924597,113.0089318,,11,-179.4158694
32.19582,0.02178,3.642869,3.615252,3.873009,4.157067,2.579953,3.782597,3.327907,3.48473,3.507744,3.529114,3.451853,3.900625,3.905228,4.023257,3.693171,2.686629,2.945972,3.311952,3.371875,3.123163,3.102867,2.949516,2.744619,4.088372,2.747196,2.031989,3.229478,2.779735,3.534891,3.300676,3.57194,,,32.19582,157.1156016,,,17.64242976,12,151.4100081,-132.6537086,110.6006958,-106.810307,110.116063,,12,-177.4180559
31.328675,0.02704,3.64254,3.626759,3.895036,4.155752,2.57009,3.791145,3.302263,3.475854,3.51432,3.535361,3.455141,3.912132,3.905886,4.024572,3.694157,2.687918,2.956926,3.312597,3.369942,3.148292,3.125418,2.965302,2.759116,4.096104,2.763949,2.060984,3.251063,2.765237,3.538435,3.319362,3.611244,,,31.328675,152.883934,,,17.69858392,13,151.4634441,-145.8060942,132.6280154,-117.4101697,106.1486425,,13,-177.1953474
30.945362,0.078986,3.647472,3.642212,3.91016,4.163313,2.571733,3.786542,3.312126,3.464347,3.524512,3.537662,3.46336,3.921996,3.900954,4.024901,3.686267,2.737531,3.042944,3.336759,3.408924,3.21047,3.162467,3.070006,2.919555,4.095781,2.754284,2.123484,3.286823,2.848678,3.575806,3.335148,3.649582,,,30.945362,151.0133666,,,17.77399456,14,152.0614344,-144.1065122,124.278799,-118.144761,110.3998398,,14,-175.9409238
29.863944,0.090822,3.635636,3.630376,3.91016,4.157067,2.593761,3.77898,3.281879,3.449223,3.509717,3.527142,3.457442,3.908516,3.897667,4.015366,3.671143,2.728833,3.045843,3.399581,3.409568,3.242687,3.175354,3.09449,2.960792,4.08515,2.765559,1.895068,3.294555,2.926642,3.597391,3.358022,3.696618,,,29.863944,145.7360467,,,17.71623488,15,152.7027786,-144.3155324,119.8869698,-111.367334,112.0357964,,15,-175.2944946
31.572721,0.105617,3.621828,3.651088,3.942379,4.161998,2.566802,3.777994,3.325605,3.443305,3.511361,3.57054,3.477169,3.912132,3.88616,4.01438,3.63728,2.685018,3.086114,3.37703,3.404092,3.204027,3.18373,3.159568,2.925031,4.056477,2.811951,1.858986,3.284246,2.869941,3.577739,3.33837,3.696296,,,31.572721,154.0748785,,,17.81730944,16,152.883934,-136.5016325,133.3146899,-119.6372553,115.5585806,,16,-174.9963071
28.043789,0.026054,3.624129,3.612622,3.865776,4.126491,2.51124,3.698103,3.265111,3.465662,3.438374,3.502484,3.433113,3.844077,3.844734,3.985777,3.568238,2.618652,2.947261,3.235277,3.250419,2.971423,3.045521,2.945328,2.665688,3.994621,2.675353,1.828702,3.227223,2.797132,3.440174,3.259439,3.560986,,,28.043789,136.8536903,,,17.62959536,17,154.0748785,-141.2945391,142.7549816,-135.4967136,113.3761909,,17,-174.2277998
