-23.788396,-0.147538,3.295358,3.349606,3.602102,4.272794,4.101504,4.010435,3.321331,3.274975,3.259522,3.193111,3.334811,3.574814,3.764514,4.076847,4.147204,3.147326,3.257184,3.708860,3.961438,3.821618,3.760407,3.231411,2.764593,3.936954,2.839980,3.541012,3.934054,3.432764,3.976258,2.525224,3.610278,-116.154398
-24.038103,-0.142935,3.334811,3.364071,3.602759,4.274438,4.103806,4.013065,3.328564,3.279577,3.266427,3.199028,3.332509,3.590595,3.768788,4.078490,4.148519,3.147970,3.293589,3.714337,3.978513,3.837727,3.824196,3.255251,2.837402,3.933410,2.881539,3.550355,3.948552,3.457571,3.989145,2.636371,3.631218,-117.373797
-23.508896,-0.144579,3.340071,3.364071,3.607362,4.272794,4.102162,4.017668,3.340729,3.284180,3.274317,3.206261,3.343359,3.611307,3.779309,4.092299,4.151478,3.148614,3.299710,3.731090,3.986567,3.850291,3.832572,3.261372,2.829348,3.930188,2.921810,3.550677,3.962083,3.472391,3.989145,2.667943,3.634440,-114.789645
-23.695422,-0.131099,3.354537,3.364729,3.600458,4.271808,4.098545,4.023915,3.345003,3.283194,3.280564,3.206919,3.345660,3.634650,3.776679,4.093285,4.152135,3.171810,3.316463,3.734956,3.990433,3.837404,3.841915,3.291334,2.847389,3.919235,2.955637,3.551321,3.978835,3.470136,3.990755,2.669232,3.632507,-115.700473
-23.847053,-0.141949,3.337112,3.362428,3.597499,4.270164,4.098217,4.020627,3.340071,3.289769,3.270372,3.201987,3.349277,3.634321,3.772405,4.086052,4.152135,3.175354,3.308731,3.721425,3.984956,3.835149,3.844170,3.277803,2.843201,3.927611,2.929219,3.546167,3.983023,3.472391,3.993655,2.638304,3.626064,-116.440645
-23.875731,-0.145565,3.331523,3.351578,3.589608,4.267862,4.093614,4.013065,3.334811,3.284509,3.268070,3.199686,3.340729,3.624787,3.770432,4.077504,4.151149,3.168589,3.303576,3.728512,3.987856,3.846103,3.840626,3.267493,2.835147,3.929222,2.922454,3.543267,3.981090,3.467880,3.986889,2.653446,3.619620,-116.580543
-23.443406,-0.136031,3.321331,3.342701,3.588622,4.263260,4.086710,4.007147,3.327578,3.274317,3.263796,3.194097,3.323304,3.618540,3.756953,4.069285,4.145560,3.161501,3.290367,3.715626,3.980768,3.837727,3.838371,3.244942,2.807119,3.914724,2.882505,3.530381,3.978191,3.464981,3.983990,2.637338,3.610922,-114.469664
-23.288934,-0.156086,3.246700,3.317715,3.575471,4.258657,4.084737,3.979202,3.253276,3.242097,3.253276,3.163521,3.295687,3.585334,3.742815,4.048572,4.137998,3.125418,3.226900,3.683087,3.961116,3.812276,3.810020,3.217236,2.704348,3.915369,2.778446,3.499775,3.950807,3.421166,3.971425,2.528446,3.558087,-113.715602
-23.073491,-0.155100,3.255577,3.319030,3.578759,4.258328,4.079806,3.978873,3.266098,3.244070,3.250317,3.164508,3.328564,3.601444,3.741829,4.043970,4.138656,3.124130,3.202094,3.696296,3.963049,3.828706,3.814853,3.217558,2.699838,3.910858,2.761371,3.498486,3.945330,3.412468,3.964982,2.534567,3.547777,-112.663387
-23.222609,-0.145894,3.257550,3.310482,3.573499,4.256355,4.080792,3.973613,3.270043,3.236508,3.250317,3.164836,3.331523,3.618540,3.746103,4.048572,4.137012,3.116076,3.183408,3.698229,3.972714,3.844170,3.813564,3.200483,2.680508,3.902482,2.748162,3.503641,3.937920,3.397004,3.955317,2.530701,3.538112,-113.391652
-23.440337,-0.145565,3.267742,3.317386,3.564293,4.255698,4.080792,3.970982,3.268728,3.234536,3.246700,3.162864,3.327578,3.616239,3.742487,4.046600,4.138327,3.116398,3.199194,3.711760,3.972714,3.860278,3.829672,3.210470,2.716268,3.894750,2.719812,3.496875,3.942108,3.420200,3.961760,2.550997,3.554865,-114.454781
-24.145183,-0.137346,3.273331,3.304564,3.567252,4.259314,4.081449,3.966380,3.260180,3.230919,3.257550,3.158590,3.326920,3.620513,3.746761,4.051531,4.143916,3.117686,3.221101,3.725935,3.990433,3.884118,3.863500,3.226900,2.740108,3.891206,2.680508,3.492043,3.954351,3.429865,3.968526,2.608020,3.569040,-117.896184
-24.072788,-0.138003,3.275632,3.306537,3.565937,4.260958,4.087038,3.954215,3.253604,3.231248,3.247687,3.158590,3.338756,3.625444,3.740185,4.044627,4.146875,3.126385,3.230122,3.742688,4.047779,3.909570,3.890562,3.233022,2.737531,3.904415,2.740431,3.507829,3.973036,3.456282,3.978835,2.642492,3.605123,-117.542965
-24.486962,-0.135702,3.290427,3.333167,3.573827,4.273452,4.099532,3.955530,3.248673,3.230590,3.249988,3.132946,3.354537,3.599471,3.738213,4.053504,4.152464,3.132184,3.404414,3.757507,4.150227,3.946296,3.946619,3.322584,2.761371,3.910536,2.583536,3.525548,4.013307,3.503641,3.987856,2.916977,3.685987,-119.565043
-24.254346,-0.140305,3.339414,3.357825,3.583690,4.291205,4.134381,3.954544,3.288783,3.239467,3.243413,3.124726,3.359469,3.588622,3.754980,4.097230,4.174820,3.144104,3.439530,3.784247,4.167624,3.972392,3.969815,3.345135,2.756217,3.924067,2.640559,3.563564,4.068719,3.548422,3.995910,2.989142,3.709827,-118.429484
-24.609954,-0.149510,3.300947,3.347633,3.577773,4.292520,4.131423,3.931530,3.271358,3.236837,3.237495,3.111575,3.352893,3.544567,3.740185,4.089011,4.172519,3.134117,3.398615,3.776515,4.164403,3.971103,3.961438,3.319040,2.721745,3.895716,2.600611,3.547133,4.057766,3.539401,3.991078,2.929864,3.702739,-120.165812
-24.588345,-0.200470,3.250646,3.326263,3.568896,4.288246,4.122546,3.889447,3.225330,3.235522,3.225988,3.101055,3.330537,3.520895,3.715528,4.064025,4.162327,3.115431,3.393782,3.782636,4.164081,3.977547,3.953706,3.300354,2.696938,3.904093,2.449515,3.531991,4.050678,3.530381,3.989145,2.889593,3.705639,-120.060145
-24.635046,-0.218881,3.242426,3.301934,3.571855,4.284301,4.118272,3.873666,3.215467,3.242097,3.225001,3.095137,3.337770,3.513005,3.707966,4.053175,4.160683,3.127351,3.427932,3.804221,4.167624,3.984634,3.960150,3.313885,2.714335,3.895394,2.371873,3.538435,4.072585,3.550355,3.992688,2.911178,3.702739,-120.288348
-24.457723,-0.230717,3.231248,3.270701,3.564622,4.280684,4.110381,3.896023,3.220070,3.234536,3.216125,3.091849,3.366044,3.503799,3.703692,4.049230,4.153450,3.138627,3.478190,3.847069,4.175679,3.993333,3.969815,3.314852,2.720456,3.926000,2.341912,3.536824,4.090949,3.567752,3.993655,2.925031,3.710793,-119.422664
-23.914739,-0.207046,3.211851,3.284180,3.557060,4.282328,4.105121,3.945338,3.237166,3.209549,3.199028,3.087575,3.378866,3.579416,3.740514,4.081449,4.154437,3.170199,3.536502,3.882830,4.183733,4.001065,3.980768,3.329349,2.737853,3.975936,2.261048,3.534246,4.133475,3.581605,3.985279,3.000096,3.704028,-116.771043
-24.314150,-0.204744,3.209878,3.277276,3.543909,4.283972,4.100847,3.959147,3.225001,3.195741,3.192453,3.081328,3.364729,3.571197,3.748405,4.093943,4.154108,3.184052,3.529092,3.887340,4.177934,3.997199,3.992366,3.332249,2.733021,3.980446,2.284244,3.540045,4.132508,3.594491,3.982379,2.997519,3.698873,-118.721187
-24.513776,-0.205073,3.199357,3.237823,3.531745,4.278712,4.097559,3.933174,3.214809,3.177987,3.188508,3.065876,3.335797,3.545224,3.717500,4.078819,4.146546,3.180186,3.530703,3.887018,4.174390,3.995266,4.005253,3.323228,2.737209,3.960150,2.371873,3.549388,4.134441,3.599646,3.972392,3.003962,3.696940,-119.696012
-24.949600,-0.219210,3.216782,3.228289,3.520895,4.295479,4.137998,3.942051,3.225988,3.190809,3.174042,3.052397,3.337770,3.534046,3.728678,4.112354,4.168245,3.176643,3.509762,3.895072,4.164403,3.987856,4.002998,3.330638,2.786178,3.944686,2.381216,3.590625,4.130575,3.608022,3.967882,2.970779,3.684698,-121.824254
-24.763719,-0.233019,3.197056,3.206590,3.507416,4.295150,4.146546,3.936133,3.207248,3.186535,3.172398,3.042534,3.316071,3.512018,3.729993,4.115642,4.168574,3.131217,3.457571,3.886696,4.143140,3.974325,3.983346,3.300999,2.785534,3.947263,2.273291,3.597713,4.104802,3.586437,3.951451,2.871552,3.659569,-120.916402
-25.097910,-0.330664,3.144124,3.192124,3.497552,4.295479,4.133395,3.907201,3.182261,3.158261,3.135576,3.017218,3.268070,3.427524,3.708952,4.110710,4.157724,3.093524,3.426965,3.859312,4.129931,3.955317,3.958539,3.248486,2.726255,3.966593,2.144102,3.590948,4.084183,3.563564,3.954351,2.761049,3.611566,-122.548551
-24.873808,-0.301732,3.140178,3.206261,3.500183,4.332959,4.167916,4.029175,3.214481,3.158918,3.127685,3.006369,3.348290,3.621499,3.831584,4.138984,4.172519,3.065496,3.479478,3.808732,4.153449,3.925678,3.915046,3.235921,2.672131,3.942753,2.010404,3.601901,4.065498,3.529736,3.954351,2.559374,3.538112,-121.454168
-24.827455,-0.318171,3.140836,3.200672,3.503799,4.334932,4.170875,4.032134,3.203303,3.144453,3.108945,2.998478,3.344674,3.629390,3.833227,4.143587,4.174820,3.054542,3.441141,3.809698,4.154093,3.915046,3.907959,3.220457,2.653768,3.950807,1.935661,3.593203,4.052611,3.519749,3.956606,2.495907,3.516527,-121.227949
-24.867133,-0.310938,3.122425,3.201659,3.485059,4.332630,4.168245,4.029832,3.186535,3.130973,3.124069,2.975135,3.335468,3.632348,3.831584,4.141614,4.170546,3.046166,3.439208,3.807443,4.147650,3.900549,3.899905,3.209504,2.659245,3.948552,1.916331,3.593525,4.050678,3.515239,3.949196,2.452737,3.508151,-121.421426
-25.467755,-0.311595,3.106973,3.184563,3.488676,4.332630,4.170546,4.031476,3.188837,3.131959,3.100726,2.968560,3.339085,3.645499,3.831255,4.141286,4.172519,3.045199,3.441141,3.807121,4.145073,3.900871,3.912791,3.228511,2.682441,3.933732,1.933728,3.595458,4.055511,3.522649,3.945008,2.467234,3.501708,-124.354332
-25.570296,-0.314883,3.099082,3.182261,3.503470,4.335918,4.183697,4.025558,3.170754,3.128343,3.116507,2.954752,3.323633,3.641554,3.824679,4.144902,4.178766,3.024258,3.432442,3.796167,4.140240,3.900871,3.919557,3.227867,2.714013,3.945652,1.818071,3.594169,4.062598,3.539401,3.941464,2.430507,3.486888,-124.854891
-26.113179,-0.323431,3.082972,3.157603,3.493607,4.333945,4.186327,4.022599,3.151028,3.109603,3.083959,2.930751,3.303906,3.636951,3.822049,4.140299,4.177122,3.008472,3.429220,3.818397,4.138629,3.920845,3.920523,3.206282,2.746552,3.962727,1.707890,3.592236,4.066142,3.540690,3.937276,2.407634,3.475612,-127.505520
-25.753081,-0.347760,3.078698,3.148069,3.481443,4.334274,4.187642,4.022599,3.152343,3.111575,3.054369,2.921217,3.260180,3.615910,3.822049,4.140957,4.176793,2.996552,3.452739,3.854157,4.132186,3.929544,3.944041,3.189529,2.742363,3.972392,1.712079,3.598357,4.072908,3.557120,3.934054,2.355443,3.480767,-125.747363
-26.102199,-0.408912,2.941272,3.099411,3.432785,4.331315,4.181724,3.991695,3.097438,3.092507,2.984012,2.896559,3.219412,3.555745,3.805611,4.132409,4.168902,2.957248,3.404736,3.821940,4.118333,3.923745,3.933732,3.150547,2.724322,3.976902,1.619295,3.588048,4.069686,3.545844,3.914724,2.261048,3.464014,-127.451941
-26.068796,-0.414172,2.911025,3.093822,3.400236,4.332959,4.189286,3.983804,3.073767,3.067191,2.950806,2.886039,3.201001,3.537991,3.799693,4.133395,4.165615,2.902480,3.411824,3.821296,4.111568,3.916013,3.933732,3.140882,2.736565,3.974969,1.550996,3.576772,4.071297,3.550033,3.921490,2.201126,3.450161,-127.289223
-26.003155,-0.430940,2.889655,3.095137,3.417004,4.330000,4.188300,3.985120,3.057657,3.072123,2.935354,2.861052,3.190152,3.526813,3.806926,4.133724,4.166601,2.887338,3.415045,3.821940,4.109635,3.913758,3.937276,3.145393,2.719812,3.976258,1.570648,3.577095,4.079029,3.555509,3.918268,2.175997,3.432120,-126.968746
-25.699508,-0.436529,2.879792,3.072123,3.394318,4.330986,4.188629,3.986763,3.045164,3.058643,2.920888,2.837052,3.178316,3.524183,3.813501,4.134710,4.169889,2.870908,3.410535,3.835149,4.106735,3.937276,3.932443,3.141849,2.739464,3.969492,1.528767,3.578705,4.088694,3.552610,3.911503,2.096744,3.416334,-125.485922
-25.475370,-0.439488,2.850202,3.064890,3.401880,4.328356,4.187642,3.988078,3.040561,3.049109,2.895902,2.831791,3.170425,3.521881,3.821063,4.136025,4.168902,2.848678,3.396037,3.828706,4.106091,3.937920,3.930188,3.131862,2.743330,3.968526,1.488818,3.577095,4.087405,3.548422,3.901515,2.041976,3.411824,-124.391539
-25.777254,-0.445406,2.804503,3.081986,3.352564,4.331644,4.189615,3.989065,3.032999,3.029711,2.868614,2.833764,3.164179,3.515635,3.841118,4.146217,4.177122,2.829670,3.367687,3.816464,4.101258,3.946296,3.920845,3.099001,2.707247,3.961760,1.434694,3.566463,4.085794,3.530058,3.880897,1.915365,3.371875,-125.865434
-25.546133,-0.466776,2.768339,3.082644,3.354208,4.327699,4.189944,3.999585,3.028396,3.041218,2.859079,2.821271,3.163521,3.522868,3.857228,4.149505,4.180081,2.799387,3.245264,3.789724,4.098359,3.930510,3.907314,3.078704,2.643781,3.960472,1.369617,3.563564,4.073874,3.516205,3.866399,1.848032,3.345457,-124.736820
-25.862617,-0.483872,2.739407,3.077383,3.341386,4.330329,4.190273,4.003202,3.019520,3.041547,2.863353,2.805818,3.157603,3.526484,3.864789,4.156409,4.184026,2.869297,3.427932,3.809376,4.118333,3.908281,3.902804,3.107055,2.619618,3.954351,1.482697,3.560342,4.071619,3.506540,3.860278,1.812594,3.311630,-126.282152
-26.036357,-0.431269,2.724283,3.051739,3.305879,4.327699,4.186327,4.008791,3.007026,2.998149,2.845928,2.775900,3.151685,3.520895,3.885173,4.162656,4.194875,2.851900,3.389594,3.812920,4.115111,3.915691,3.911825,3.109954,2.675675,3.952418,1.459823,3.564208,4.061954,3.499130,3.851902,1.767169,3.288756,-127.130473
-25.416545,-0.459872,2.607898,3.021163,3.241440,4.318493,4.169889,3.991695,2.943902,2.930094,2.817983,2.683844,3.062589,3.444949,3.870379,4.161669,4.182711,2.789722,3.311308,3.791335,4.105769,3.907959,3.894428,3.040689,2.576126,3.939853,1.424707,3.569685,4.062276,3.474968,3.831283,1.564849,3.236565,-124.104301
-23.778787,-0.450995,2.615131,3.026753,3.238810,4.329343,4.180081,4.017010,2.959026,2.940615,2.818312,2.661488,3.046808,3.467963,3.885831,4.166601,4.194218,2.759760,3.308086,3.784247,4.102547,3.904093,3.897649,3.061952,2.584180,3.942753,1.552929,3.574517,4.047134,3.471102,3.801966,1.326125,3.189207,-116.107270
-21.586920,-0.448036,2.610857,3.008341,3.246043,4.330329,4.186327,4.026873,2.979409,2.928121,2.797928,2.626638,3.096123,3.512676,3.888790,4.166601,4.195862,2.751706,3.282313,3.763951,4.089660,3.891206,3.870910,3.103833,2.603188,3.943719,1.548419,3.581605,4.039080,3.457571,3.781025,1.290364,3.193073,-105.405039
-17.132524,-0.408912,2.596391,2.974478,3.220070,4.317178,4.173834,4.040353,2.990588,2.893271,2.801544,2.597378,3.081986,3.536019,3.876625,4.161998,4.185998,2.755250,3.219813,3.699195,4.056477,3.841270,3.817752,3.114143,2.579670,3.942108,1.603187,3.587082,3.994299,3.414401,3.726579,1.232697,3.110277,-83.654801
-14.034891,-0.313239,2.533596,2.930094,3.182919,4.297123,4.153779,4.041997,2.986971,2.780832,2.769654,2.565487,3.042534,3.569882,3.859858,4.146546,4.165286,2.730121,3.112532,3.591592,4.005575,3.737211,3.704994,3.146037,2.620585,3.928900,1.587078,3.543267,3.935021,3.361566,3.642172,1.029733,3.073872,-68.529895
-8.884077,-0.239923,2.409978,2.820942,3.013602,4.254712,4.102491,4.025558,2.963628,2.611186,2.731187,2.528664,2.981382,3.539635,3.818433,4.097888,4.120244,2.757505,3.074838,3.459504,3.917624,3.610922,3.506540,3.123807,2.632505,3.924711,1.707568,3.457249,3.849002,3.220779,3.520393,0.631537,2.864142,-43.379430
-4.823008,-0.295157,2.376115,2.790366,2.998149,4.197177,4.033120,4.022271,2.950806,2.564172,2.733818,2.621707,2.959354,3.541279,3.768788,4.045613,4.062381,2.880250,3.077093,3.336759,3.808087,3.385728,3.312597,3.292622,2.791977,3.964338,1.745906,3.420522,3.769750,3.063885,3.377996,0.305828,2.554863,-23.550066
0.587511,-0.232032,2.252168,2.692392,2.900833,4.071257,3.942708,3.922324,2.845928,2.300497,2.521431,2.529322,2.730201,3.376894,3.592896,3.957832,3.950270,2.796809,3.005251,3.179220,3.675999,3.062274,3.020715,3.294877,3.010083,3.933732,1.631859,3.363499,3.598680,2.845134,3.251063,0.014913,1.966589,0.000000
7.461807,0.180248,2.171948,2.537541,2.757489,3.981174,3.876625,3.776350,2.794311,1.780710,2.357375,2.282086,2.303127,3.257878,3.471908,3.809885,3.840460,2.703381,2.986243,3.053575,3.620587,2.966591,2.863498,3.143460,3.304865,3.896683,1.494617,3.300676,3.506218,2.659889,3.046166,0.012980,0.598031,36.434613
11.658392,-0.636094,2.010850,2.482308,2.593432,4.061723,3.908845,3.776679,2.708502,2.328443,2.128550,2.041754,2.183126,3.236508,3.481771,3.844077,3.858543,2.556796,2.769103,2.856410,3.526837,2.827737,2.642492,2.484953,3.320329,3.841270,1.138947,3.048421,3.218202,2.457569,2.911178,0.011691,0.143134,56.925766
16.389129,-0.791933,1.930630,2.548719,2.712119,4.134381,3.967037,3.869063,2.836065,2.453047,2.141701,2.154852,2.378745,3.332509,3.533060,3.896023,3.943037,2.506861,2.627350,2.776513,3.412146,2.659889,2.393458,1.377027,3.497842,3.809698,1.176640,2.780057,2.873485,2.214012,2.577737,0.011369,-0.000229,80.024883
18.431691,-0.777467,1.791888,2.594090,2.833764,4.152793,3.980846,3.897667,2.929436,2.377101,2.300168,2.207126,2.427074,3.346318,3.543580,3.918379,3.960133,2.520069,2.293587,2.761371,3.384439,2.644103,2.290688,0.170196,3.563886,3.798745,1.145390,2.626706,2.731410,2.117363,2.301319,0.009436,-0.000229,89.998352
20.055435,-0.883332,1.819505,2.641433,2.955080,4.166272,4.034106,3.937119,3.042534,2.538199,2.359018,2.316936,2.495787,3.355195,3.568567,3.949612,3.982161,2.592557,2.096744,2.795199,3.451450,2.666977,2.389592,0.011369,3.728512,3.789724,1.149578,2.623484,2.695650,2.101899,2.249128,0.009758,-0.000874,97.926922
21.193102,-1.008923,1.801422,2.706201,3.069493,4.177122,4.068299,3.955859,3.119466,2.691077,2.392882,2.419512,2.579953,3.367359,3.575800,3.962434,4.005175,2.647647,2.085468,2.849322,3.547455,2.692106,2.494296,0.010402,3.796812,3.801966,1.142490,2.632505,2.707247,2.174386,2.246551,0.007825,0.000415,103.482180
22.979558,-0.990183,1.771175,2.706201,3.187521,4.178437,4.070929,3.962763,3.152672,2.730530,2.399129,2.454362,2.599021,3.365058,3.575471,3.958160,4.007147,2.702415,2.110919,2.853833,3.590948,2.695005,2.500739,0.012335,3.827739,3.831928,1.169874,2.634760,2.711758,2.180507,2.243007,0.009758,-0.000229,112.204996
24.074846,-1.085198,1.752764,2.702256,3.250646,4.183040,4.075532,3.959804,3.136891,2.808449,2.395841,2.467184,2.637159,3.363414,3.582375,3.964407,4.012408,2.703704,1.998161,2.866719,3.631863,2.700482,2.570005,0.012980,3.849325,3.834505,1.155055,2.632827,2.700160,2.188239,2.234953,0.008469,-0.001196,117.552887
24.784749,-1.043115,1.754737,2.732502,3.275961,4.185998,4.070929,3.962763,3.187193,2.783133,2.380060,2.494143,2.661488,3.380510,3.589280,3.967366,4.017339,2.710791,1.841267,2.893459,3.667301,2.726255,2.603832,0.012335,3.877353,3.842237,1.149578,2.635405,2.694683,2.194360,2.237208,0.010724,-0.000229,121.019094
