8.557200,-1.765168,-0.170881,2.518801,2.802531,2.820613,3.613609,3.726048,3.853282,3.177658,2.653597,2.781818,2.854805,2.895902,3.178645,3.023465,3.600786,3.707308,2.556152,2.908923,3.186308,3.509440,3.148936,2.907312,2.423420,1.971100,3.525226,1.317426,2.660211,2.555508,2.402479,2.988176,0.014590,2.291332,41.783000,0.000000
8.097844,-1.823517,-0.140634,2.596391,2.830147,2.826860,3.611965,3.725719,3.855913,3.189165,2.655899,2.808120,2.865983,2.995848,3.228618,3.040890,3.598485,3.742487,2.563562,2.971423,3.238821,3.544556,3.202416,2.971745,2.443394,1.948548,3.540690,1.376382,2.736242,2.606410,2.414399,3.013949,0.014268,2.266525,39.540160,0.000000
8.288083,-1.641688,-0.128798,2.614145,2.842312,2.841654,3.600129,3.719473,3.847036,3.189823,2.644721,2.813709,2.881765,3.060945,3.225330,3.038917,3.598814,3.738870,2.617363,3.046810,3.340947,3.597069,3.242364,3.001385,2.501384,1.856086,3.556476,1.440815,2.760405,2.658278,2.417299,3.030702,0.230441,2.242041,40.469344,0.000000
8.133569,-1.660293,-0.128469,2.617761,2.842312,2.782476,3.586321,3.712897,3.839145,3.182261,2.655570,2.802531,2.896888,3.070808,3.245056,3.018204,3.595197,3.730980,2.639915,3.000740,3.398937,3.601579,3.252029,3.012983,2.556152,1.802607,3.570007,1.507181,2.802608,2.684696,2.411177,3.041333,0.324191,2.226899,39.714785,0.000000
8.518187,-2.223347,-0.086386,2.661488,2.879134,2.822586,3.579416,3.713226,3.840132,3.194426,2.645049,2.811736,2.899189,3.077383,3.267742,2.989930,3.602430,3.744459,2.644425,3.041011,3.418267,3.633151,3.240754,3.064851,2.622518,1.779733,3.549066,1.661499,2.850933,2.722711,2.434051,3.066784,0.432761,2.293587,41.592500,0.000000
7.946200,-1.598181,-0.201785,2.679242,2.891299,2.805490,3.583690,3.712569,3.837501,3.203960,2.767681,2.826531,2.924834,3.086918,3.329879,2.985985,3.610650,3.741500,2.668588,3.107699,3.435664,3.660858,3.257506,3.095457,2.656990,1.722388,3.584827,1.746872,2.861887,2.728510,2.441139,3.076449,0.420841,2.280056,38.799988,0.000000
7.705264,-1.816667,-0.192580,2.741379,2.936012,2.834421,3.579745,3.714212,3.843748,3.228947,2.812723,2.854805,2.983355,3.096452,3.379195,3.027081,3.627746,3.735583,2.687918,3.173099,3.431153,3.712082,3.275870,3.117042,2.734954,1.743329,3.610278,2.022002,2.988176,2.801320,2.454348,3.145715,0.531665,2.407956,37.623254,0.000000
7.160614,-1.849684,-0.187319,2.762749,2.935025,2.830805,3.554430,3.712897,3.840132,3.216453,2.828175,2.850202,3.004067,3.155959,3.401880,3.032013,3.627746,3.748733,2.713046,3.215303,3.422133,3.737855,3.296810,3.138305,2.756217,1.748483,3.610922,2.118007,3.020070,2.849967,2.466912,3.216591,0.665686,2.429541,34.963695,0.000000
7.085497,-1.479691,-0.142277,2.761106,2.979738,2.794640,3.572183,3.714870,3.843748,3.225988,2.804832,2.922861,3.011958,3.232563,3.444949,3.061602,3.645171,3.756295,2.738175,3.248163,3.443718,3.746554,3.347713,3.156991,2.775869,1.745906,3.609633,2.206602,3.030379,2.860598,2.466268,3.254929,0.724642,2.469167,34.597082,0.000000
6.388165,-1.713705,-0.133072,2.744996,2.996506,2.816668,3.579416,3.729665,3.842104,3.240454,2.804175,2.985656,3.022150,3.283523,3.470922,3.080013,3.662267,3.762542,2.814206,3.263305,3.446617,3.756219,3.399259,3.193717,2.756861,1.700481,3.608345,2.190172,3.042622,2.883150,2.482054,3.267493,0.804861,2.509760,31.192391,0.000000
6.031792,-1.744306,-0.066002,2.729872,3.011958,2.875518,3.696130,3.761227,3.882543,3.278591,2.744996,2.927135,3.030698,3.325934,3.492621,3.205604,3.681993,3.800022,2.831926,3.265238,3.518783,3.794234,3.451128,3.263950,2.738498,1.602542,3.625097,2.299708,3.077416,2.897969,2.524580,3.277803,0.845454,2.629283,29.452094,0.000000
5.811494,-1.764464,-0.230060,2.785106,3.050753,2.997821,3.912132,3.799364,3.949612,3.397935,2.951135,2.950149,3.046150,3.332509,3.532073,3.299304,3.782926,3.855584,3.007184,3.239465,3.615432,3.856734,3.519105,3.339014,2.770714,1.657311,3.685987,2.272646,3.091269,2.943073,2.570005,3.319684,1.002349,2.710469,28.376562,0.000000
